PBO Network Velocity Field
Station,Ref_Epoch,Ref_JDay,Latitude (deg N),Longitude (deg E),Elevation (m),North Velocity (mm/yr),East Velocity (mm/yr),Vertical Velocity (mm/yr),North Std. Deviation (mm/yr),East Std. Deviation (mm/yr),Vertical Std. Deviation (mm/yr),North/East Correlation,North/Vertical Correlation,East/Vertical Correlation,First_Epoch,Last_Epoch,
AC20,20091016120000,55120.5000,60.929208,210.647497,43.6602,14.7,-11.9,4.0,0.5,0.3,1.1,0.002,0.008,0.036,20050716000000,20091101000000
AC21,20091016120000,55120.5000,55.921091,200.872278,170.9317,6.4,-9.7,-0.4,0.5,0.6,1.0,0.002,0.025,0.029,20060812000000,20091101000000
AC23,20091016120000,55120.5000,60.475093,209.122047,80.7893,-4.4,-3.2,12.1,0.7,0.7,1.2,0.001,0.008,0.015,20070616000000,20091101000000
AC24,20091016120000,55120.5000,58.681573,203.347245,36.3368,-2.1,-0.9,2.4,0.5,0.7,0.9,0.002,0.021,0.027,20060630000000,20091101000000
AC25,20091016120000,55120.5000,55.088969,197.685948,584.2617,-1.1,-6.6,1.4,0.7,0.7,1.1,0.001,0.020,0.028,20050821000000,20091101000000
AC26,20091016120000,55120.5000,58.214556,205.849709,190.1218,-3.6,1.8,3.3,0.9,0.7,1.7,0.001,0.007,0.016,20080521000000,20091101000000
AC27,20091016120000,55120.5000,59.252507,205.837120,417.4826,-9.2,1.5,2.3,0.4,0.4,0.9,0.002,0.036,0.042,20040915000000,20091101000000
AC27,20091016120000,55120.5000,59.252507,205.837120,417.4843,-9.2,1.5,2.3,0.4,0.4,0.9,0.002,0.036,0.042,20050909000000,20090912000000
AC27,20091016120000,55120.5000,59.252507,205.837120,417.4868,-9.2,1.5,2.3,0.4,0.4,0.9,0.002,0.036,0.042,20090912000000,20090913000000
AC28,20091016120000,55120.5000,55.078492,199.950840,365.0919,6.4,-10.6,-1.9,0.8,1.3,1.6,0.001,0.009,0.012,20080504000000,20091101000000
AC30,20091016120000,55120.5000,59.855820,212.260768,751.1773,115.0,18.1,217.4,9.2,8.8,6.2,-0.001,0.000,0.000,20070831000000,20090121000000
AC31,20091016120000,55120.5000,64.637977,197.760874,228.3313,-3.5,1.3,1.7,0.4,0.5,1.0,0.003,0.024,0.045,20060720000000,20091101000000
AC32,20091016120000,55120.5000,61.473121,209.263083,1347.7480,3.0,-6.2,2.1,6.2,6.5,17.4,-0.001,0.071,0.012,Convrt000000 C,nvrt000000
AC32,20091016120000,55120.5000,61.473121,209.263083,1347.7576,3.0,-6.2,2.1,6.2,6.5,17.4,-0.001,0.071,0.012,20060904000000,20091101000000
AC33,20091016120000,55120.5000,62.671179,209.314927,1521.0996,30.2,-2.7,-23.7,21.5,4.6,5.2,-0.000,0.000,0.001,20070922000000,20091101000000
AC34,20091016120000,55120.5000,57.220027,206.720822,103.2346,15.6,-13.8,3.1,0.6,1.0,0.9,0.001,0.015,0.016,20060623000000,20091101000000
AC35,20091016120000,55120.5000,59.375812,209.206755,408.4222,9.6,-9.2,6.1,0.3,0.5,1.2,0.001,0.018,0.023,20060716000000,20091101000000
AC35,20091016120000,55120.5000,59.375812,209.206755,408.4252,9.6,-9.2,6.1,0.3,0.5,1.2,0.001,0.018,0.023,20061013000000,20090913000000
