"GEO.id","GEO.id2","GEO.display-label","Total:","Total:","Total:"
"Id","Id2","Geography",,"Occupied","Vacant"
60750104003014,60750104003014,"Block 3014, Block Group 3, Census Tract 104, San Francisco County, California",50,38,12
60750104004000,60750104004000,"Block 4000, Block Group 4, Census Tract 104, San Francisco County, California",69,52,17
60750104004001,60750104004001,"Block 4001, Block Group 4, Census Tract 104, San Francisco County, California",73,66,7
60750104004002,60750104004002,"Block 4002, Block Group 4, Census Tract 104, San Francisco County, California",117,102,15
60750104004003,60750104004003,"Block 4003, Block Group 4, Census Tract 104, San Francisco County, California",188,167,21
60750104004004,60750104004004,"Block 4004, Block Group 4, Census Tract 104, San Francisco County, California",108,88,20
60750105001000,60750105001000,"Block 1000, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001001,60750105001001,"Block 1001, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001002,60750105001002,"Block 1002, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001003,60750105001003,"Block 1003, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001004,60750105001004,"Block 1004, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001005,60750105001005,"Block 1005, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001006,60750105001006,"Block 1006, Block Group 1, Census Tract 105, San Francisco County, California",190,154,36
60750105001007,60750105001007,"Block 1007, Block Group 1, Census Tract 105, San Francisco County, California",202,160,42
60750105001008,60750105001008,"Block 1008, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001009,60750105001009,"Block 1009, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001010,60750105001010,"Block 1010, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001011,60750105001011,"Block 1011, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001012,60750105001012,"Block 1012, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001013,60750105001013,"Block 1013, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001014,60750105001014,"Block 1014, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001015,60750105001015,"Block 1015, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001016,60750105001016,"Block 1016, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001017,60750105001017,"Block 1017, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001018,60750105001018,"Block 1018, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001019,60750105001019,"Block 1019, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001020,60750105001020,"Block 1020, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001021,60750105001021,"Block 1021, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001022,60750105001022,"Block 1022, Block Group 1, Census Tract 105, San Francisco County, California",84,83,1
60750105001023,60750105001023,"Block 1023, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001024,60750105001024,"Block 1024, Block Group 1, Census Tract 105, San Francisco County, California",32,32,0
60750105001025,60750105001025,"Block 1025, Block Group 1, Census Tract 105, San Francisco County, California",88,81,7
60750105001026,60750105001026,"Block 1026, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105001027,60750105001027,"Block 1027, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0
60750105002000,60750105002000,"Block 2000, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002001,60750105002001,"Block 2001, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002002,60750105002002,"Block 2002, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002003,60750105002003,"Block 2003, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002004,60750105002004,"Block 2004, Block Group 2, Census Tract 105, San Francisco County, California",102,80,22
60750105002005,60750105002005,"Block 2005, Block Group 2, Census Tract 105, San Francisco County, California",53,31,22
60750105002006,60750105002006,"Block 2006, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002007,60750105002007,"Block 2007, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002008,60750105002008,"Block 2008, Block Group 2, Census Tract 105, San Francisco County, California",431,353,78
60750105002009,60750105002009,"Block 2009, Block Group 2, Census Tract 105, San Francisco County, California",9,9,0
60750105002010,60750105002010,"Block 2010, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002011,60750105002011,"Block 2011, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002012,60750105002012,"Block 2012, Block Group 2, Census Tract 105, San Francisco County, California",794,699,95
60750105002013,60750105002013,"Block 2013, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002014,60750105002014,"Block 2014, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002015,60750105002015,"Block 2015, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002016,60750105002016,"Block 2016, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002017,60750105002017,"Block 2017, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002018,60750105002018,"Block 2018, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002019,60750105002019,"Block 2019, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002020,60750105002020,"Block 2020, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750105002021,60750105002021,"Block 2021, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0
60750106001000,60750106001000,"Block 1000, Block Group 1, Census Tract 106, San Francisco County, California",60,50,10
60750106001001,60750106001001,"Block 1001, Block Group 1, Census Tract 106, San Francisco County, California",67,55,12
60750106001002,60750106001002,"Block 1002, Block Group 1, Census Tract 106, San Francisco County, California",119,105,14
60750106001003,60750106001003,"Block 1003, Block Group 1, Census Tract 106, San Francisco County, California",105,92,13
60750106001004,60750106001004,"Block 1004, Block Group 1, Census Tract 106, San Francisco County, California",75,61,14
60750106001005,60750106001005,"Block 1005, Block Group 1, Census Tract 106, San Francisco County, California",74,53,21
60750106001006,60750106001006,"Block 1006, Block Group 1, Census Tract 106, San Francisco County, California",175,163,12
60750106001007,60750106001007,"Block 1007, Block Group 1, Census Tract 106, San Francisco County, California",42,38,4
60750106002000,60750106002000,"Block 2000, Block Group 2, Census Tract 106, San Francisco County, California",50,45,5
60750106002001,60750106002001,"Block 2001, Block Group 2, Census Tract 106, San Francisco County, California",69,67,2
60750106002002,60750106002002,"Block 2002, Block Group 2, Census Tract 106, San Francisco County, California",283,240,43
60750106002003,60750106002003,"Block 2003, Block Group 2, Census Tract 106, San Francisco County, California",40,35,5
