,,,,,,,HD01,SUBHD02010101,SUBHD02010102,SUBHD02010103,SUBHD020102,SUBHD020201,SUBHD020202,SUBHD020203
,,,,,,,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population
,,,,,,,,In households,In households,In households,In households,In group quarters,In group quarters,In group quarters
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,,Family households,Family households,Family households,Nonfamily households [3],Total,Institutionalized population,Noninstitutionalized population
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Total,In families [1],Nonrelatives [2],,,,
0400000US06,06,California,8710000US0690241,0690241,"California - ZCTA5 90241, California","ZCTA5 90241, California",42399,89.2,85.7,3.5,10.2,0.6,0.5,0.2
0400000US06,06,California,8710000US0690242,0690242,"California - ZCTA5 90242, California","ZCTA5 90242, California",43497,91.3,87.6,3.7,8.2,0.4,0.3,0.1
0400000US06,06,California,8710000US0690245,0690245,"California - ZCTA5 90245, California","ZCTA5 90245, California",16654,76.2,74.4,1.8,23.4,0.5,0.1,0.4
0400000US06,06,California,8710000US0690247,0690247,"California - ZCTA5 90247, California","ZCTA5 90247, California",47487,85.5,81.7,3.7,13.2,1.3,1.2,0.1
0400000US06,06,California,8710000US0690248,0690248,"California - ZCTA5 90248, California","ZCTA5 90248, California",9947,88.3,84.9,3.4,11.1,0.5,0.5,0.1
0400000US06,06,California,8710000US0690249,0690249,"California - ZCTA5 90249, California","ZCTA5 90249, California",26669,87.6,84.2,3.4,11.5,0.9,0.4,0.5
0400000US06,06,California,8710000US0690250,0690250,"California - ZCTA5 90250, California","ZCTA5 90250, California",93193,86.7,82.7,4.0,12.7,0.5,0.3,0.2
0400000US06,06,California,8710000US0690254,0690254,"California - ZCTA5 90254, California","ZCTA5 90254, California",19506,59.5,58.0,1.5,40.4,0.1,0.0,0.1
0400000US06,06,California,8710000US0690255,0690255,"California - ZCTA5 90255, California","ZCTA5 90255, California",75066,94.3,88.9,5.4,5.3,0.3,0.0,0.3
0400000US06,06,California,8710000US0690260,0690260,"California - ZCTA5 90260, California","ZCTA5 90260, California",34924,88.3,84.0,4.3,11.1,0.6,0.2,0.5
0400000US06,06,California,8710000US0690262,0690262,"California - ZCTA5 90262, California","ZCTA5 90262, California",69745,92.8,87.0,5.8,3.4,3.8,3.2,0.6
0400000US06,06,California,8710000US0690263,0690263,"California - ZCTA5 90263, California","ZCTA5 90263, California",1612,0.0,0.0,0.0,0.0,100.0,0.0,100.0
0400000US06,06,California,8710000US0690265,0690265,"California - ZCTA5 90265, California","ZCTA5 90265, California",18116,73.9,71.1,2.8,20.8,5.3,1.8,3.5
0400000US06,06,California,8710000US0690266,0690266,"California - ZCTA5 90266, California","ZCTA5 90266, California",35135,79.9,78.7,1.2,20.0,0.1,0.0,0.1
0400000US06,06,California,8710000US0690270,0690270,"California - ZCTA5 90270, California","ZCTA5 90270, California",27372,94.8,89.4,5.4,4.8,0.4,0.4,0.0
0400000US06,06,California,8710000US0690272,0690272,"California - ZCTA5 90272, California","ZCTA5 90272, California",22986,85.5,84.0,1.5,14.3,0.2,0.0,0.2
0400000US06,06,California,8710000US0690274,0690274,"California - ZCTA5 90274, California","ZCTA5 90274, California",25209,90.8,89.7,1.1,9.1,0.1,0.0,0.1
0400000US06,06,California,8710000US0690275,0690275,"California - ZCTA5 90275, California","ZCTA5 90275, California",41804,89.4,88.4,1.0,9.8,0.8,0.1,0.7
0400000US06,06,California,8710000US0690277,0690277,"California - ZCTA5 90277, California","ZCTA5 90277, California",35293,67.8,66.3,1.5,31.3,0.9,0.2,0.7
0400000US06,06,California,8710000US0690278,0690278,"California - ZCTA5 90278, California","ZCTA5 90278, California",40071,78.8,76.8,2.0,20.9,0.3,0.0,0.3
0400000US06,06,California,8710000US0690280,0690280,"California - ZCTA5 90280, California","ZCTA5 90280, California",94396,95.2,90.5,4.7,4.7,0.1,0.1,0.0
0400000US06,06,California,8710000US0690290,0690290,"California - ZCTA5 90290, California","ZCTA5 90290, California",6368,77.7,73.4,4.3,22.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0690291,0690291,"California - ZCTA5 90291, California","ZCTA5 90291, California",28341,53.5,51.3,2.2,44.5,2.0,0.0,1.9
0400000US06,06,California,8710000US0690292,0690292,"California - ZCTA5 90292, California","ZCTA5 90292, California",21576,51.0,49.9,1.1,48.9,0.1,0.0,0.1
0400000US06,06,California,8710000US0690293,0690293,"California - ZCTA5 90293, California","ZCTA5 90293, California",12132,54.9,53.6,1.4,44.4,0.7,0.7,0.0
0400000US06,06,California,8710000US0690301,0690301,"California - ZCTA5 90301, California","ZCTA5 90301, California",36568,84.7,80.8,3.9,13.2,2.1,0.7,1.4
0400000US06,06,California,8710000US0690302,0690302,"California - ZCTA5 90302, California","ZCTA5 90302, California",29415,83.4,79.7,3.8,15.9,0.6,0.5,0.2
0400000US06,06,California,8710000US0690303,0690303,"California - ZCTA5 90303, California","ZCTA5 90303, California",26176,91.9,87.3,4.6,7.7,0.4,0.0,0.4
0400000US06,06,California,8710000US0690304,0690304,"California - ZCTA5 90304, California","ZCTA5 90304, California",28210,93.9,88.1,5.8,5.4,0.6,0.4,0.3
0400000US06,06,California,8710000US0690305,0690305,"California - ZCTA5 90305, California","ZCTA5 90305, California",14853,81.4,78.8,2.6,16.8,1.9,0.0,1.8
0400000US06,06,California,8710000US0690401,0690401,"California - ZCTA5 90401, California","ZCTA5 90401, California",6722,33.9,33.2,0.7,58.9,7.3,0.7,6.6
0400000US06,06,California,8710000US0690402,0690402,"California - ZCTA5 90402, California","ZCTA5 90402, California",12250,79.9,78.0,1.9,20.1,0.0,0.0,0.0
0400000US06,06,California,8710000US0690403,0690403,"California - ZCTA5 90403, California","ZCTA5 90403, California",24525,53.2,52.3,1.0,45.8,1.0,0.4,0.6
0400000US06,06,California,8710000US0690404,0690404,"California - ZCTA5 90404, California","ZCTA5 90404, California",21360,57.2,55.8,1.5,37.8,4.9,2.9,2.0
0400000US06,06,California,8710000US0690405,0690405,"California - ZCTA5 90405, California","ZCTA5 90405, California",27186,57.6,56.3,1.3,41.1,1.3,0.3,1.0
0400000US06,06,California,8710000US0690501,0690501,"California - ZCTA5 90501, California","ZCTA5 90501, California",43180,86.2,83.2,3.1,13.1,0.6,0.0,0.6
0400000US06,06,California,8710000US0690502,0690502,"California - ZCTA5 90502, California","ZCTA5 90502, California",18010,81.6,78.7,2.8,11.8,6.6,5.7,0.9
0400000US06,06,California,8710000US0690503,0690503,"California - ZCTA5 90503, California","ZCTA5 90503, California",44383,84.2,82.8,1.3,14.7,1.1,0.9,0.3
0400000US06,06,California,8710000US0690504,0690504,"California - ZCTA5 90504, California","ZCTA5 90504, California",32102,87.0,84.9,2.1,12.5,0.5,0.0,0.5
0400000US06,06,California,8710000US0690505,0690505,"California - ZCTA5 90505, California","ZCTA5 90505, California",36678,85.1,83.8,1.3,14.1,0.8,0.6,0.2
0400000US06,06,California,8710000US0690506,0690506,"California - ZCTA5 90506, California","ZCTA5 90506, California",0,,,,,,,
0400000US06,06,California,8710000US0690601,0690601,"California - ZCTA5 90601, California","ZCTA5 90601, California",31974,87.5,84.1,3.4,12.3,0.2,0.0,0.2
0400000US06,06,California,8710000US0690602,0690602,"California - ZCTA5 90602, California","ZCTA5 90602, California",25777,83.7,79.7,4.0,12.0,4.3,0.5,3.8
0400000US06,06,California,8710000US0690603,0690603,"California - ZCTA5 90603, California","ZCTA5 90603, California",20063,89.4,87.1,2.3,9.7,0.9,0.8,0.1
0400000US06,06,California,8710000US0690604,0690604,"California - ZCTA5 90604, California","ZCTA5 90604, California",39407,91.0,87.2,3.8,8.6,0.5,0.1,0.4
0400000US06,06,California,8710000US0690605,0690605,"California - ZCTA5 90605, California","ZCTA5 90605, California",40331,93.4,88.7,4.7,5.9,0.6,0.3,0.4
0400000US06,06,California,8710000US0690606,0690606,"California - ZCTA5 90606, California","ZCTA5 90606, California",32396,92.9,88.4,4.5,6.4,0.8,0.6,0.1
0400000US06,06,California,8710000US0690620,0690620,"California - ZCTA5 90620, California","ZCTA5 90620, California",45113,91.5,88.0,3.5,7.5,1.0,0.5,0.5
0400000US06,06,California,8710000US0690621,0690621,"California - ZCTA5 90621, California","ZCTA5 90621, California",35153,90.3,85.8,4.4,8.7,1.0,0.1,0.9
0400000US06,06,California,8710000US0690623,0690623,"California - ZCTA5 90623, California","ZCTA5 90623, California",15554,93.1,91.3,1.8,6.8,0.1,0.0,0.1
0400000US06,06,California,8710000US0690630,0690630,"California - ZCTA5 90630, California","ZCTA5 90630, California",47993,91.0,88.9,2.1,8.3,0.7,0.0,0.7
0400000US06,06,California,8710000US0690631,0690631,"California - ZCTA5 90631, California","ZCTA5 90631, California",67619,89.6,85.6,4.0,9.8,0.6,0.3,0.3
0400000US06,06,California,8710000US0690638,0690638,"California - ZCTA5 90638, California","ZCTA5 90638, California",49012,85.2,82.7,2.5,8.9,5.8,0.6,5.3
0400000US06,06,California,8710000US0690640,0690640,"California - ZCTA5 90640, California","ZCTA5 90640, California",62549,90.4,86.7,3.7,8.9,0.6,0.6,0.1
0400000US06,06,California,8710000US0690650,0690650,"California - ZCTA5 90650, California","ZCTA5 90650, California",105549,92.5,87.8,4.7,6.0,1.5,1.2,0.3
0400000US06,06,California,8710000US0690660,0690660,"California - ZCTA5 90660, California","ZCTA5 90660, California",62928,93.1,88.8,4.3,6.2,0.7,0.7,0.1
0400000US06,06,California,8710000US0690670,0690670,"California - ZCTA5 90670, California","ZCTA5 90670, California",14866,90.6,87.3,3.3,8.1,1.3,0.7,0.6
0400000US06,06,California,8710000US0690680,0690680,"California - ZCTA5 90680, California","ZCTA5 90680, California",29945,88.9,83.2,5.7,10.0,1.1,0.8,0.3
0400000US06,06,California,8710000US0690701,0690701,"California - ZCTA5 90701, California","ZCTA5 90701, California",16591,88.6,84.7,3.9,7.7,3.7,3.3,0.4
0400000US06,06,California,8710000US0690703,0690703,"California - ZCTA5 90703, California","ZCTA5 90703, California",49399,94.2,92.5,1.8,5.6,0.2,0.0,0.2
0400000US06,06,California,8710000US0690704,0690704,"California - ZCTA5 90704, California","ZCTA5 90704, California",4090,77.4,74.8,2.5,22.2,0.4,0.2,0.3
0400000US06,06,California,8710000US0690706,0690706,"California - ZCTA5 90706, California","ZCTA5 90706, California",76615,89.0,85.2,3.8,10.0,1.0,0.4,0.5
0400000US06,06,California,8710000US0690710,0690710,"California - ZCTA5 90710, California","ZCTA5 90710, California",25457,87.7,84.5,3.1,11.9,0.4,0.0,0.4
0400000US06,06,California,8710000US0690712,0690712,"California - ZCTA5 90712, California","ZCTA5 90712, California",31499,89.1,86.6,2.6,10.7,0.1,0.0,0.1
0400000US06,06,California,8710000US0690713,0690713,"California - ZCTA5 90713, California","ZCTA5 90713, California",27925,89.9,87.3,2.6,10.0,0.1,0.0,0.1
0400000US06,06,California,8710000US0690715,0690715,"California - ZCTA5 90715, California","ZCTA5 90715, California",20388,91.1,87.3,3.8,8.7,0.2,0.0,0.2
0400000US06,06,California,8710000US0690716,0690716,"California - ZCTA5 90716, California","ZCTA5 90716, California",14184,93.1,87.4,5.7,6.8,0.1,0.0,0.1
0400000US06,06,California,8710000US0690717,0690717,"California - ZCTA5 90717, California","ZCTA5 90717, California",21318,80.3,77.6,2.7,18.8,0.9,0.5,0.4
0400000US06,06,California,8710000US0690720,0690720,"California - ZCTA5 90720, California","ZCTA5 90720, California",21751,87.2,85.5,1.7,10.9,1.9,0.9,0.9
0400000US06,06,California,8710000US0690723,0690723,"California - ZCTA5 90723, California","ZCTA5 90723, California",54099,93.0,88.5,4.5,6.4,0.6,0.5,0.0
0400000US06,06,California,8710000US0690731,0690731,"California - ZCTA5 90731, California","ZCTA5 90731, California",59662,79.4,76.4,3.0,17.2,3.4,1.7,1.6
0400000US06,06,California,8710000US0690732,0690732,"California - ZCTA5 90732, California","ZCTA5 90732, California",21115,80.0,78.6,1.4,17.2,2.8,1.7,1.1
0400000US06,06,California,8710000US0690740,0690740,"California - ZCTA5 90740, California","ZCTA5 90740, California",23729,66.1,65.3,0.8,33.0,0.9,0.9,0.1
0400000US06,06,California,8710000US0690742,0690742,"California - ZCTA5 90742, California","ZCTA5 90742, California",831,59.2,58.4,0.8,40.8,0.0,0.0,0.0
