,,,,,,,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Population,Housing units,Area in square miles,Area in square miles,Area in square miles,Density per square mile of land area,Density per square mile of land area
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,,Total area,Water area,Land area,Population,Housing units
0400000US06,06,California,8710000US0690005,0690005,"California - ZCTA5 90005, California","ZCTA5 90005, California",37681,16345,1.08,0.00,1.08,34760.9,15078.3
0400000US06,06,California,8710000US0690006,0690006,"California - ZCTA5 90006, California","ZCTA5 90006, California",59185,20332,1.92,0.00,1.92,30828.8,10590.7
0400000US06,06,California,8710000US0690007,0690007,"California - ZCTA5 90007, California","ZCTA5 90007, California",40920,12762,2.47,0.00,2.47,16593.4,5175.1
0400000US06,06,California,8710000US0690008,0690008,"California - ZCTA5 90008, California","ZCTA5 90008, California",32327,15006,3.70,0.03,3.67,8800.9,4085.3
0400000US06,06,California,8710000US0690010,0690010,"California - ZCTA5 90010, California","ZCTA5 90010, California",3800,2382,0.46,0.00,0.46,8309.3,5208.6
0400000US06,06,California,8710000US0690011,0690011,"California - ZCTA5 90011, California","ZCTA5 90011, California",103892,23547,4.29,0.00,4.29,24240.4,5494.1
0400000US06,06,California,8710000US0690012,0690012,"California - ZCTA5 90012, California","ZCTA5 90012, California",31103,11370,3.29,0.06,3.23,9617.9,3515.9
0400000US06,06,California,8710000US0690013,0690013,"California - ZCTA5 90013, California","ZCTA5 90013, California",11772,7516,0.68,0.01,0.67,17546.0,11202.5
0400000US06,06,California,8710000US0690014,0690014,"California - ZCTA5 90014, California","ZCTA5 90014, California",7005,4990,0.28,0.00,0.28,24736.8,17621.2
0400000US06,06,California,8710000US0690015,0690015,"California - ZCTA5 90015, California","ZCTA5 90015, California",18986,8245,1.71,0.00,1.71,11099.6,4820.2
